Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
1890000,2.240038,9.9999976e-05,3.0,0.5805951799425931,369.9259259259259,0.19098572,0.16132225,0.5836445990903878,0.596618854969648,0.018853439,0.022670167,0.07814738,0.59206647
1920000,2.238038,9.999998e-05,3.0,0.9082348067489996,398.3466666666667,0.22898579,0.16292909,0.9134881883859635,0.6388664623411994,0.02230328,0.025756337,0.07899702,0.6276264
1950000,2.2440708,9.9999976e-05,3.0,0.5885091968615267,343.20454545454544,0.21235496,0.16384329,0.5772092271680859,0.5554683042897853,0.02247334,0.025618635,0.07828468,0.61897486
1980000,2.2390726,9.9999976e-05,3.0,0.7425508980140036,457.3692307692308,0.14849694,0.16145381,0.7233109171573933,0.7414598479580421,0.018796878,0.026026698,0.07731587,0.60815686
2010000,2.209552,9.9999976e-05,3.0,0.895971540812579,353.98809523809524,0.2202572,0.16174085,0.9247335088217542,0.5927427542795028,0.024720939,0.028088352,0.07929142,0.58454317
2040000,2.207076,9.999998e-05,3.0,0.8424697808420686,337.2584269662921,0.2597622,0.16567841,0.8254024064942692,0.5577576740990194,0.026016168,0.026434321,0.079996295,0.5934477
2070000,2.1754508,9.999999e-05,3.0,1.3846047913002832,347.93023255813955,0.30668068,0.16837868,1.3578025364901785,0.586107662272488,0.0270246,0.025054416,0.08018088,0.5759304
2100000,2.0865948,9.9999976e-05,3.0,1.568416978620103,315.7894736842105,0.4020582,0.17269832,1.6112380906155235,0.5295216443507295,0.029654307,0.026785811,0.081307694,0.5566224
2130000,2.019818,9.999999e-05,3.0,1.5512935759044744,243.78688524590163,0.46312043,0.17550936,1.5178264228046918,0.4234583299897123,0.037940744,0.027738543,0.08333055,0.53339183
2160000,2.000577,9.999999e-05,3.0,1.5376753274882213,238.312,0.5201783,0.17474796,1.5385714036524296,0.40467750211805104,0.03695175,0.026571242,0.08170998,0.55374444
2190000,1.9795547,9.9999976e-05,3.0,1.831177918697466,220.67407407407407,0.5947625,0.17028138,1.8301853835582733,0.3696186726843869,0.041151002,0.02917343,0.080179974,0.54658836
