Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
2220000,2.094131,9.999998e-05,3.0,1.5483116895415967,199.98639455782313,0.60677266,0.14198643,1.5818433938799679,0.29865088024352854,0.038079213,0.11280763,0.07236719,0.5041105
2250000,2.0566967,9.999998e-05,3.0,2.0360863455316993,170.81034482758622,0.8399688,0.14193997,2.0403450165671866,0.2546437283838703,0.045458626,0.091992766,0.071504526,0.49198747
2280000,2.00845,0.000100000005,3.0,2.025695136485156,149.305,0.9746524,0.1438348,2.0066751880943774,0.22430972267873586,0.050250005,0.10492587,0.07318822,0.49927083
2310000,2.008857,1e-04,3.0,2.1485912691459994,146.97536945812809,1.0136659,0.14614215,2.1526898222567117,0.22501094680591463,0.052210655,0.10376637,0.073610365,0.48825622
2340000,1.9834027,1e-04,3.0,1.99645588002827,131.86283185840708,1.074199,0.14545819,2.0013275923685425,0.2000562761852567,0.054123864,0.10068578,0.07338726,0.47804028
2370000,1.9693253,1e-04,3.0,2.5135464854027347,144.99024390243903,1.1636494,0.14294253,2.5033611579275714,0.2142044810078493,0.049755797,0.09195039,0.071823046,0.46799833
2400000,1.9613391,0.000100000005,3.0,2.207387525019832,134.95495495495496,1.118529,0.14380768,2.1999639766585775,0.20164653091223667,0.05364636,0.11128074,0.07211723,0.46956444
2430000,1.9421831,1e-04,3.0,2.2978319977626485,131.3716814159292,1.1392994,0.14454594,2.3050266152436514,0.19709032726790018,0.059623644,0.1051649,0.07277741,0.46689564
2460000,1.9290636,1e-04,3.0,2.4986969906851497,134.78733031674207,1.2034197,0.1420255,2.4984210348473144,0.19930360457813578,0.050335955,0.10447387,0.07156537,0.45654047
2490000,1.9248013,9.999999e-05,3.0,2.4517966841440244,128.2900432900433,1.2119384,0.1440848,2.4515672851660293,0.1927118676742821,0.05307401,0.10106732,0.072653204,0.4713407
2520000,1.9277205,0.000100000005,3.0,2.5492996911900248,137.3364055299539,1.244646,0.13900317,2.5543688537922047,0.19517073837379295,0.048517797,0.111076646,0.06898755,0.4602339
2550000,1.8944972,1e-04,3.0,2.5528320455191063,128.20258620689654,1.2834228,0.14126036,2.548245867521598,0.19152807795988588,0.05050464,0.106761515,0.07193345,0.46190724
2580000,1.8736825,1e-04,3.0,2.3505968467663942,122.65432098765432,1.2906138,0.14246964,2.350522802031212,0.18060108593860527,0.05830894,0.1151559,0.07138648,0.45924044
2610000,1.8704245,1e-04,3.0,2.472432456406313,130.1877729257642,1.2400786,0.14089675,2.4724543364840565,0.19060511585715426,0.049557403,0.10806224,0.0709203,0.45959193
2640000,1.825646,1e-04,3.0,2.6106997176908884,127.49785407725322,1.311814,0.13980259,2.62334781415089,0.18539657235513302,0.050110575,0.10199666,0.070284694,0.45921427
2670000,1.8279178,1e-04,4.0,2.7283023446931662,130.9295154185022,1.2686725,0.1410063,2.7153112237148873,0.18799458456426726,0.042651396,0.103225596,0.069676936,0.46291187
2700000,1.7473114,1e-04,4.0,3.069616667497297,137.11467889908258,1.3221463,0.14123768,3.0698204306680537,0.19406564341892207,0.038416475,0.10386193,0.06896619,0.4474934
